size	date
4,8	march-10
3	march-10
5,56	march-10
3,74	march-10
4,1	march-10
2,21	march-10
2,75	march-10
3,18	march-10
2,56	march-10
4,36	march-10
3,27	march-10
4,97	march-10
4,86	march-10
3,48	march-10
2,96	march-10
4,34	march-10
3,17	march-10
3,8	march-10
4,91	march-10
4,16	march-10
5,06	march-10
4,82	march-10
4,54	march-10
3,61	march-10
3,79	march-10
5,03	march-10
3,23	march-10
2,99	march-10
6,52	march-10
5,26	march-10
4,03	march-10
3,93	march-10
3,07	march-10
2,49	march-10
5,1	march-10
3,7	march-10
3,33	march-10
5,55	march-10
4,88	march-10
3,38	march-10
4,74	march-10
2,71	march-10
2,61	march-10
4,58	march-10
3,01	march-10
3,13	march-10
4,33	march-10
4,1	march-10
6,42	march-10
5,48	march-10
3,39	march-10
5,07	march-10
3,19	march-10
3,13	march-10
3,54	march-10
2,88	march-10
2,57	march-10
2,97	march-10
5,53	march-10
2,97	march-10
3,46	march-10
4,47	march-10
2,64	march-10
6,51	march-10
4,16	march-10
4,66	march-10
2,81	march-10
3,16	march-10
3,91	march-10
3,31	march-10
3,5	march-10
4,39	march-10
3,56	march-10
3,83	march-10
4,72	march-10
2,25	march-10
4,2	march-10
4,1	march-10
2,84	march-10
3,35	march-10
5,68	march-10
2,01	march-10
3,73	march-10
4,66	march-10
1,54	march-10
3,75	march-10
4,41	march-10
5,8	march-10
3,6	march-10
5,16	march-10
3,69	march-10
3,54	march-10
4,9	march-10
4,17	march-10
4	march-10
3,99	march-10
3,91	march-10
4,7	march-10
6,56	march-10
3,72	march-10
2,34	march-10
2,6	march-10
2,57	march-10
4,15	march-10
4,36	march-10
5,72	march-10
4,34	march-10
2,29	march-10
5,25	march-10
4,71	march-10
4,06	march-10
2,68	march-10
4,29	march-10
4,39	march-10
3,63	march-10
2,5	march-10
3,25	march-10
7,18	march-10
6,19	march-10
2,81	march-10
2,76	march-10
3,04	march-10
3,06	march-10
4,29	march-10
4,77	march-10
4,63	march-10
1,27	march-10
4,24	march-10
6,38	march-10
3,62	march-10
1,44	march-10
4,66	march-10
4,13	march-10
3,35	march-10
4,66	march-10
3,35	march-10
3,99	march-10
3,29	march-10
2,19	march-10
4,51	march-10
0,79	march-10
2,34	march-10
4,57	march-10
4,61	march-10
3,41	march-10
5,15	march-10
4,32	march-10
4,77	march-10
5,33	march-10
4,01	march-10
3,39	march-10
3,01	march-10
4,95	march-10
6,19	march-10
5,35	march-10
3,98	march-10
5,39	march-10
3,03	march-10
3,7	march-10
4,05	march-10
4,15	march-10
5,81	march-10
2,79	march-10
2,46	march-10
4,32	march-10
4,31	march-10
4,84	march-10
4	march-10
2,33	march-10
3	march-10
4,77	march-10
7,28	march-10
2,5	march-10
3,46	march-10
3,34	march-10
3,11	march-10
4,26	march-10
4,12	march-10
5,43	march-10
4,81	march-10
4,28	march-10
4,57	march-10
5,3	march-10
2,62	march-10
1,62	march-10
2,68	march-10
3,35	march-10
4,83	march-10
4,61	march-10
1,16	march-10
3,33	march-10
3,62	march-10
5,54	march-10
3,57	march-10
2,82	march-10
3,92	march-10
4,32	march-10
4,52	march-10
4,31	march-10
2,95	march-10
5,53	march-10
6,13	march-10
3,83	march-10
1,3	march-10
6,31	march-10
5,57	march-10
3,68	march-10
5,89	march-10
4,78	march-10
5,55	march-10
3,31	march-10
3,23	march-10
4,18	march-10
2,96	march-10
4,09	march-10
4,19	march-10
3,92	march-10
3,64	march-10
2,22	march-10
3,75	march-10
3,97	march-10
3,97	march-10
10,14	march-10
10,73	march-10
8,03	march-10
9,94	march-10
8,49	march-10
9,7	march-10
7,92	march-10
9,25	march-10
12,6	march-10
6,71	march-10
10,06	march-10
7,19	march-10
8,79	march-10
9,02	march-10
6,65	march-10
8,84	march-10
11,75	march-10
8,84	march-10
7,74	march-10
10,27	march-10
9,12	march-10
7,75	march-10
7,51	march-10
11,44	march-10
10,5	march-10
8,85	march-10
7,78	march-10
7,92	march-10
7,36	march-10
7,04	march-10
9,65	march-10
10,43	march-10
9,72	march-10
9,35	march-10
7,25	march-10
9,65	march-10
9,24	march-10
7,56	march-10
9,61	march-10
9,91	march-10
8,92	march-10
9,31	march-10
10,9	march-10
7,74	march-10
9,59	march-10
5,61	march-10
9,52	march-10
8,7	march-10
11,79	march-10
8,92	march-10
12,32	march-10
8,12	march-10
9,22	march-10
9,12	march-10
9,89	march-10
9,25	march-10
10,41	march-10
9,42	march-10
7,92	march-10
10,38	march-10
10,5	march-10
9,45	march-10
8,68	march-10
8,36	march-10
8,54	march-10
6,67	march-10
10,21	march-10
5,15	march-10
10,89	march-10
7,83	march-10
8,11	march-10
8,21	march-10
7,88	march-10
8,12	march-10
10,82	march-10
7,54	march-10
6,49	march-10
10,11	march-10
6,1	march-10
8,79	march-10
11,74	march-10
10,37	march-10
8,21	march-10
8,18	march-10
5,63	march-10
9,72	march-10
6,27	march-10
8,12	march-10
10,14	march-10
10,22	march-10
9,22	march-10
11,68	march-10
9,61	march-10
10,02	march-10
9,16	march-10
6,81	march-10
7,85	march-10
8,56	march-10
11,05	march-10
9,02	march-10
8,7	march-10
9,33	march-10
8,8	march-10
7,98	march-10
9,41	march-10
8,02	march-10
5,84	march-10
6,14	march-10
6,35	march-10
8,84	march-10
7,48	march-10
9,42	march-10
9,8	march-10
9,3	march-10
9,34	march-10
8,15	march-10
11,2	march-10
9,55	march-10
7,86	march-10
7,84	march-10
6,71	march-10
10,59	march-10
19,47	march-10
17,67	march-10
16,15	march-10
15,8	march-10
18,59	march-10
19,06	march-10
19,63	march-10
21,28	march-10
20,07	march-10
19,42	march-10
17,84	march-10
16,31	march-10
19,17	march-10
21,97	march-10
15,85	march-10
19,41	march-10
15,8	march-10
21,1	march-10
16,87	march-10
19,82	march-10
16,73	march-10
18	march-10
16,3	march-10
16,88	march-10
18,92	march-10
14,25	march-10
17,27	march-10
16,95	march-10
17,85	march-10
