size,date
4.8,2010-03
3,2010-03
5.56,2010-03
3.74,2010-03
4.1,2010-03
2.21,2010-03
2.75,2010-03
3.18,2010-03
2.56,2010-03
4.36,2010-03
3.27,2010-03
4.97,2010-03
4.86,2010-03
3.48,2010-03
2.96,2010-03
4.34,2010-03
3.17,2010-03
3.8,2010-03
4.91,2010-03
4.16,2010-03
5.06,2010-03
4.82,2010-03
4.54,2010-03
3.61,2010-03
3.79,2010-03
5.03,2010-03
3.23,2010-03
2.99,2010-03
6.52,2010-03
5.26,2010-03
4.03,2010-03
3.93,2010-03
3.07,2010-03
2.49,2010-03
5.1,2010-03
3.7,2010-03
3.33,2010-03
5.55,2010-03
4.88,2010-03
3.38,2010-03
4.74,2010-03
2.71,2010-03
2.61,2010-03
4.58,2010-03
3.01,2010-03
3.13,2010-03
4.33,2010-03
4.1,2010-03
6.42,2010-03
5.48,2010-03
3.39,2010-03
5.07,2010-03
3.19,2010-03
3.13,2010-03
3.54,2010-03
2.88,2010-03
2.57,2010-03
2.97,2010-03
5.53,2010-03
2.97,2010-03
3.46,2010-03
4.47,2010-03
2.64,2010-03
6.51,2010-03
4.16,2010-03
4.66,2010-03
2.81,2010-03
3.16,2010-03
3.91,2010-03
3.31,2010-03
3.5,2010-03
4.39,2010-03
3.56,2010-03
3.83,2010-03
4.72,2010-03
2.25,2010-03
4.2,2010-03
4.1,2010-03
2.84,2010-03
3.35,2010-03
5.68,2010-03
2.01,2010-03
3.73,2010-03
4.66,2010-03
1.54,2010-03
3.75,2010-03
4.41,2010-03
5.8,2010-03
3.6,2010-03
5.16,2010-03
3.69,2010-03
3.54,2010-03
4.9,2010-03
4.17,2010-03
4,2010-03
3.99,2010-03
3.91,2010-03
4.7,2010-03
6.56,2010-03
3.72,2010-03
2.34,2010-03
2.6,2010-03
2.57,2010-03
4.15,2010-03
4.36,2010-03
5.72,2010-03
4.34,2010-03
2.29,2010-03
5.25,2010-03
4.71,2010-03
4.06,2010-03
2.68,2010-03
4.29,2010-03
4.39,2010-03
3.63,2010-03
2.5,2010-03
3.25,2010-03
7.18,2010-03
6.19,2010-03
2.81,2010-03
2.76,2010-03
3.04,2010-03
3.06,2010-03
4.29,2010-03
4.77,2010-03
4.63,2010-03
1.27,2010-03
4.24,2010-03
6.38,2010-03
3.62,2010-03
1.44,2010-03
4.66,2010-03
4.13,2010-03
3.35,2010-03
4.66,2010-03
3.35,2010-03
3.99,2010-03
3.29,2010-03
2.19,2010-03
4.51,2010-03
0.79,2010-03
2.34,2010-03
4.57,2010-03
4.61,2010-03
3.41,2010-03
5.15,2010-03
4.32,2010-03
4.77,2010-03
5.33,2010-03
4.01,2010-03
3.39,2010-03
3.01,2010-03
4.95,2010-03
6.19,2010-03
5.35,2010-03
3.98,2010-03
5.39,2010-03
3.03,2010-03
3.7,2010-03
4.05,2010-03
4.15,2010-03
5.81,2010-03
2.79,2010-03
2.46,2010-03
4.32,2010-03
4.31,2010-03
4.84,2010-03
4,2010-03
2.33,2010-03
3,2010-03
4.77,2010-03
7.28,2010-03
2.5,2010-03
3.46,2010-03
3.34,2010-03
3.11,2010-03
4.26,2010-03
4.12,2010-03
5.43,2010-03
4.81,2010-03
4.28,2010-03
4.57,2010-03
5.3,2010-03
2.62,2010-03
1.62,2010-03
2.68,2010-03
3.35,2010-03
4.83,2010-03
4.61,2010-03
1.16,2010-03
3.33,2010-03
3.62,2010-03
5.54,2010-03
3.57,2010-03
2.82,2010-03
3.92,2010-03
4.32,2010-03
4.52,2010-03
4.31,2010-03
2.95,2010-03
5.53,2010-03
6.13,2010-03
3.83,2010-03
1.3,2010-03
6.31,2010-03
5.57,2010-03
3.68,2010-03
5.89,2010-03
4.78,2010-03
5.55,2010-03
3.31,2010-03
3.23,2010-03
4.18,2010-03
2.96,2010-03
4.09,2010-03
4.19,2010-03
3.92,2010-03
3.64,2010-03
2.22,2010-03
3.75,2010-03
3.97,2010-03
3.97,2010-03
10.14,2010-03
10.73,2010-03
8.03,2010-03
9.94,2010-03
8.49,2010-03
9.7,2010-03
7.92,2010-03
9.25,2010-03
12.6,2010-03
6.71,2010-03
10.06,2010-03
7.19,2010-03
8.79,2010-03
9.02,2010-03
6.65,2010-03
8.84,2010-03
11.75,2010-03
8.84,2010-03
7.74,2010-03
10.27,2010-03
9.12,2010-03
7.75,2010-03
7.51,2010-03
11.44,2010-03
10.5,2010-03
8.85,2010-03
7.78,2010-03
7.92,2010-03
7.36,2010-03
7.04,2010-03
9.65,2010-03
10.43,2010-03
9.72,2010-03
9.35,2010-03
7.25,2010-03
9.65,2010-03
9.24,2010-03
7.56,2010-03
9.61,2010-03
9.91,2010-03
8.92,2010-03
9.31,2010-03
10.9,2010-03
7.74,2010-03
9.59,2010-03
5.61,2010-03
9.52,2010-03
8.7,2010-03
11.79,2010-03
8.92,2010-03
12.32,2010-03
8.12,2010-03
9.22,2010-03
9.12,2010-03
9.89,2010-03
9.25,2010-03
10.41,2010-03
9.42,2010-03
7.92,2010-03
10.38,2010-03
10.5,2010-03
9.45,2010-03
8.68,2010-03
8.36,2010-03
8.54,2010-03
6.67,2010-03
10.21,2010-03
5.15,2010-03
10.89,2010-03
7.83,2010-03
8.11,2010-03
8.21,2010-03
7.88,2010-03
8.12,2010-03
10.82,2010-03
7.54,2010-03
6.49,2010-03
10.11,2010-03
6.1,2010-03
8.79,2010-03
11.74,2010-03
10.37,2010-03
8.21,2010-03
8.18,2010-03
5.63,2010-03
9.72,2010-03
6.27,2010-03
8.12,2010-03
10.14,2010-03
10.22,2010-03
9.22,2010-03
11.68,2010-03
9.61,2010-03
10.02,2010-03
9.16,2010-03
6.81,2010-03
7.85,2010-03
8.56,2010-03
11.05,2010-03
9.02,2010-03
8.7,2010-03
9.33,2010-03
8.8,2010-03
7.98,2010-03
9.41,2010-03
8.02,2010-03
5.84,2010-03
6.14,2010-03
6.35,2010-03
8.84,2010-03
7.48,2010-03
9.42,2010-03
9.8,2010-03
9.3,2010-03
9.34,2010-03
8.15,2010-03
11.2,2010-03
9.55,2010-03
7.86,2010-03
7.84,2010-03
6.71,2010-03
10.59,2010-03
19.47,2010-03
17.67,2010-03
16.15,2010-03
15.8,2010-03
18.59,2010-03
19.06,2010-03
19.63,2010-03
21.28,2010-03
20.07,2010-03
19.42,2010-03
17.84,2010-03
16.31,2010-03
19.17,2010-03
21.97,2010-03
15.85,2010-03
19.41,2010-03
15.8,2010-03
21.1,2010-03
16.87,2010-03
19.82,2010-03
16.73,2010-03
18,2010-03
16.3,2010-03
16.88,2010-03
18.92,2010-03
14.25,2010-03
17.27,2010-03
16.95,2010-03
17.85,2010-03
19.98,2010-03
19.33,2010-03
17.34,2010-03
15.89,2010-03
21.43,2010-03
15.34,2010-03
18.92,2010-03
20.3,2010-03
19.8,2010-03
19.76,2010-03
21.45,2010-03
17.12,2010-03
20.25,2010-03
18.03,2010-03
20.23,2010-03
17.5,2010-03
17.83,2010-03
17.87,2010-03
16.08,2010-03
14.38,2010-03
14.16,2010-03
18.67,2010-03
16.43,2010-03
17.26,2010-03
23.25,2010-03
18.32,2010-03
20.65,2010-03
18.32,2010-03
16.4,2010-03
17.13,2010-03
19.54,2010-03
17.76,2010-03
17.3,2010-03
19.38,2010-03
14.61,2010-03
17.38,2010-03
13.24,2010-03
20.99,2010-03
25.1,2010-03
28.03,2010-03
29.24,2010-03
26.16,2010-03
31.22,2010-03
26.84,2010-03
25.07,2010-03
29.49,2010-03
27.44,2010-03
29.67,2010-03
25.33,2010-03
24.71,2010-03
29.77,2010-03
25.53,2010-03
29.25,2010-03
24.88,2010-03
26.96,2010-03
31.41,2010-03
22.03,2010-03
26.88,2010-03
24.89,2010-03
29.03,2010-03
27.63,2010-03
28.49,2010-03
24.25,2010-03
29.67,2010-03
28.31,2010-03
30.29,2010-03
28.25,2010-03
28.45,2010-03
30.74,2010-03
22.76,2010-03
29.77,2010-03
28.39,2010-03
26.54,2010-03
28.12,2010-03
31.61,2010-03
37.2,2010-03
36.51,2010-03
34.05,2010-03
34.92,2010-03
32.92,2010-03
38.35,2010-03
33.97,2010-03
32.46,2010-03
33.04,2010-03
33.52,2010-03
32.76,2010-03
34.7,2010-03
33.46,2010-03
30.41,2010-03
36.12,2010-03
35.45,2010-03
31.88,2010-03
38.98,2010-03
37.4,2010-03
26.82,2010-03
6.73,2010-09
5.57,2010-09
6.21,2010-09
5.75,2010-09
7.01,2010-09
4,2010-09
4.51,2010-09
7.07,2010-09
4.87,2010-09
5.88,2010-09
7.87,2010-09
5.44,2010-09
5.57,2010-09
5.9,2010-09
6.25,2010-09
6.77,2010-09
5.78,2010-09
5.7,2010-09
5.89,2010-09
6.5,2010-09
5.15,2010-09
3.92,2010-09
5.44,2010-09
4.17,2010-09
6.08,2010-09
3.24,2010-09
6.21,2010-09
7.18,2010-09
6.79,2010-09
6.41,2010-09
5.26,2010-09
6.11,2010-09
8.22,2010-09
7.43,2010-09
8.47,2010-09
5.37,2010-09
5.27,2010-09
5.57,2010-09
5.97,2010-09
5.18,2010-09
6.27,2010-09
8.97,2010-09
6.01,2010-09
7.34,2010-09
6.75,2010-09
4.72,2010-09
7.69,2010-09
5.48,2010-09
6.42,2010-09
4.37,2010-09
5.65,2010-09
6.39,2010-09
7.38,2010-09
4.87,2010-09
5.8,2010-09
6.05,2010-09
6.61,2010-09
8.6,2010-09
6.31,2010-09
6.63,2010-09
5.69,2010-09
4.53,2010-09
4.03,2010-09
7.26,2010-09
6.47,2010-09
4.44,2010-09
6.92,2010-09
4.79,2010-09
6.06,2010-09
6.04,2010-09
7.04,2010-09
8.59,2010-09
8.68,2010-09
2.22,2010-09
5.2,2010-09
5.91,2010-09
8.23,2010-09
8.27,2010-09
5.77,2010-09
5.47,2010-09
8.58,2010-09
7.16,2010-09
6.8,2010-09
8.04,2010-09
4.2,2010-09
8.86,2010-09
5.94,2010-09
7.39,2010-09
5.6,2010-09
4.1,2010-09
8.64,2010-09
4.28,2010-09
9.36,2010-09
7.37,2010-09
7.52,2010-09
5.79,2010-09
5.76,2010-09
6.35,2010-09
5.09,2010-09
8.12,2010-09
4.13,2010-09
6.02,2010-09
5.26,2010-09
5.86,2010-09
7.29,2010-09
5.71,2010-09
5.89,2010-09
5.98,2010-09
3.4,2010-09
6.25,2010-09
7.74,2010-09
5.97,2010-09
7.3,2010-09
6.76,2010-09
5.53,2010-09
3.29,2010-09
6.15,2010-09
7.91,2010-09
6.27,2010-09
5.16,2010-09
6.73,2010-09
8.51,2010-09
8.73,2010-09
6.83,2010-09
5.63,2010-09
5.56,2010-09
6.34,2010-09
13.21,2010-09
12.15,2010-09
12.68,2010-09
11.24,2010-09
13.53,2010-09
13.47,2010-09
12.92,2010-09
11.48,2010-09
12.96,2010-09
16.06,2010-09
12.46,2010-09
15.39,2010-09
11.85,2010-09
11.64,2010-09
12.12,2010-09
14.25,2010-09
12,2010-09
14.36,2010-09
12.23,2010-09
14.74,2010-09
11.21,2010-09
14.89,2010-09
10.73,2010-09
9.64,2010-09
12.62,2010-09
8.8,2010-09
12.44,2010-09
14.7,2010-09
15.32,2010-09
13.93,2010-09
13.67,2010-09
13.97,2010-09
13.66,2010-09
16.27,2010-09
14.76,2010-09
11.49,2010-09
11.1,2010-09
10.7,2010-09
14.18,2010-09
13.61,2010-09
18.42,2010-09
12.14,2010-09
14.7,2010-09
13.35,2010-09
12.41,2010-09
11.48,2010-09
11.31,2010-09
8.96,2010-09
14.86,2010-09
11.97,2010-09
12.92,2010-09
12.26,2010-09
13.36,2010-09
12.58,2010-09
10.66,2010-09
14.33,2010-09
14.68,2010-09
9.33,2010-09
16.59,2010-09
14.56,2010-09
12.04,2010-09
13.63,2010-09
13.69,2010-09
11.86,2010-09
12.68,2010-09
14.35,2010-09
15.11,2010-09
14.38,2010-09
10.42,2010-09
11.46,2010-09
19.98,2010-09
23.17,2010-09
22.2,2010-09
22.7,2010-09
20.38,2010-09
24.04,2010-09
23.89,2010-09
21.63,2010-09
25.87,2010-09
21.22,2010-09
22.56,2010-09
18.72,2010-09
22.21,2010-09
20.59,2010-09
21.79,2010-09
24.36,2010-09
22.43,2010-09
23.12,2010-09
19.19,2010-09
23,2010-09
20.72,2010-09
21.19,2010-09
22.49,2010-09
23.12,2010-09
22.44,2010-09
22.28,2010-09
23.58,2010-09
22.91,2010-09
27.1,2010-09
23.47,2010-09
24.04,2010-09
20.89,2010-09
21.1,2010-09
23.07,2010-09
23.71,2010-09
19.77,2010-09
23.3,2010-09
20.32,2010-09
29.5,2010-09
35.03,2010-09
33.29,2010-09
31.73,2010-09
31.04,2010-09
30.2,2010-09
30.53,2010-09
32.96,2010-09
34.1,2010-09
29.41,2010-09
35.89,2010-09
31.75,2010-09
33.12,2010-09
33.82,2010-09
33.68,2010-09
29.68,2010-09
29.54,2010-09
32.48,2010-09
33.51,2010-09
33.08,2010-09
31.24,2010-09
35.67,2010-09
37.17,2010-09
32.37,2010-09
34.07,2010-09
38.91,2010-09
34.38,2010-09
35.99,2010-09
32.69,2010-09
32.98,2010-09
34.74,2010-09
36.83,2010-09
33.55,2010-09
2.79,2011-03
2.32,2011-03
4.21,2011-03
3.45,2011-03
4.01,2011-03
1.35,2011-03
3.85,2011-03
4.44,2011-03
3.33,2011-03
5.32,2011-03
4.14,2011-03
4.97,2011-03
2.47,2011-03
2.18,2011-03
3.29,2011-03
5.66,2011-03
3.46,2011-03
4.03,2011-03
4.62,2011-03
3.91,2011-03
4.65,2011-03
2.27,2011-03
5.19,2011-03
4.2,2011-03
2.13,2011-03
5.87,2011-03
1.98,2011-03
5.13,2011-03
4.86,2011-03
4.83,2011-03
4.54,2011-03
4.73,2011-03
5.63,2011-03
4.16,2011-03
2.85,2011-03
3.28,2011-03
5.67,2011-03
2.22,2011-03
3.4,2011-03
4.75,2011-03
3.19,2011-03
4.41,2011-03
3.24,2011-03
3.57,2011-03
3.7,2011-03
2.02,2011-03
3.27,2011-03
3.91,2011-03
4.62,2011-03
2.38,2011-03
2.57,2011-03
4.81,2011-03
4.33,2011-03
4.68,2011-03
2.52,2011-03
5.15,2011-03
1.39,2011-03
4.16,2011-03
1.76,2011-03
4.28,2011-03
1.43,2011-03
2.71,2011-03
2.47,2011-03
5.68,2011-03
3.54,2011-03
3.71,2011-03
2.57,2011-03
3.49,2011-03
3.28,2011-03
4.02,2011-03
3.06,2011-03
3.79,2011-03
2.59,2011-03
4.05,2011-03
3.52,2011-03
4.44,2011-03
2.28,2011-03
5.15,2011-03
3.11,2011-03
3.9,2011-03
4.33,2011-03
5.57,2011-03
5.05,2011-03
3.26,2011-03
1.53,2011-03
4.36,2011-03
3.96,2011-03
4.63,2011-03
5.13,2011-03
4.96,2011-03
1.96,2011-03
4.62,2011-03
4.42,2011-03
3.45,2011-03
2.49,2011-03
3.87,2011-03
4.77,2011-03
3.87,2011-03
4.28,2011-03
2.75,2011-03
5.1,2011-03
3.73,2011-03
3.23,2011-03
3.31,2011-03
6.2,2011-03
4.66,2011-03
1.82,2011-03
3.81,2011-03
4.68,2011-03
2.65,2011-03
4.02,2011-03
5.16,2011-03
3.71,2011-03
5.19,2011-03
3.79,2011-03
3.09,2011-03
5.83,2011-03
3.21,2011-03
4.32,2011-03
1.97,2011-03
5.01,2011-03
1.02,2011-03
2.83,2011-03
2.55,2011-03
3.21,2011-03
3.54,2011-03
3.67,2011-03
4.28,2011-03
3.51,2011-03
4.12,2011-03
3.58,2011-03
3.53,2011-03
5.51,2011-03
3.24,2011-03
3.31,2011-03
4.08,2011-03
5.01,2011-03
4.13,2011-03
3.62,2011-03
3.77,2011-03
3.77,2011-03
4.57,2011-03
3.92,2011-03
2.82,2011-03
5.61,2011-03
2.85,2011-03
2.23,2011-03
2.6,2011-03
3.81,2011-03
3.65,2011-03
4.57,2011-03
6.1,2011-03
4.68,2011-03
4.31,2011-03
4.19,2011-03
6.5,2011-03
4.57,2011-03
2.32,2011-03
2.88,2011-03
2.27,2011-03
1.71,2011-03
5.2,2011-03
2.65,2011-03
3.19,2011-03
2.09,2011-03
2.93,2011-03
2.9,2011-03
1.68,2011-03
4.44,2011-03
3.79,2011-03
3.58,2011-03
6.5,2011-03
2.14,2011-03
4.54,2011-03
5.84,2011-03
1.7,2011-03
3.94,2011-03
5.07,2011-03
3.91,2011-03
3.27,2011-03
3.74,2011-03
6.49,2011-03
7.75,2011-03
4.82,2011-03
4.58,2011-03
5.27,2011-03
4.91,2011-03
5.51,2011-03
2.37,2011-03
6.11,2011-03
3.7,2011-03
3.48,2011-03
2.38,2011-03
4.57,2011-03
4.79,2011-03
3.1,2011-03
5.42,2011-03
3.15,2011-03
4.81,2011-03
2.98,2011-03
3.34,2011-03
4.25,2011-03
2.33,2011-03
4.03,2011-03
3.38,2011-03
2.85,2011-03
2.88,2011-03
4.76,2011-03
3.54,2011-03
4.59,2011-03
3.16,2011-03
3.2,2011-03
2.13,2011-03
3.9,2011-03
3.07,2011-03
4.92,2011-03
3.76,2011-03
3.37,2011-03
4.31,2011-03
4.73,2011-03
3.59,2011-03
2.65,2011-03
4.3,2011-03
5.49,2011-03
3.43,2011-03
4.02,2011-03
3.9,2011-03
2.85,2011-03
8.02,2011-03
6.8,2011-03
9.66,2011-03
7.99,2011-03
9.55,2011-03
10.85,2011-03
12.71,2011-03
6.12,2011-03
7.98,2011-03
9.55,2011-03
7.45,2011-03
9.11,2011-03
8.03,2011-03
8.01,2011-03
10.41,2011-03
8.69,2011-03
7.35,2011-03
9.81,2011-03
10.67,2011-03
7.65,2011-03
4.42,2011-03
9.04,2011-03
10.38,2011-03
9.76,2011-03
9.79,2011-03
10.42,2011-03
8.45,2011-03
10.05,2011-03
8.16,2011-03
11.41,2011-03
8.87,2011-03
7.28,2011-03
7.17,2011-03
9.11,2011-03
8.68,2011-03
7.7,2011-03
10.52,2011-03
6.74,2011-03
7.55,2011-03
7.65,2011-03
8.56,2011-03
10.23,2011-03
10.64,2011-03
8.42,2011-03
7.75,2011-03
9.92,2011-03
6.89,2011-03
11.25,2011-03
8.83,2011-03
9.66,2011-03
9.15,2011-03
7.82,2011-03
11.97,2011-03
9.23,2011-03
9.29,2011-03
7.94,2011-03
13.11,2011-03
8.38,2011-03
6.74,2011-03
9.12,2011-03
5.73,2011-03
9.1,2011-03
7.62,2011-03
9.24,2011-03
10.19,2011-03
9.17,2011-03
6.61,2011-03
9.81,2011-03
9.31,2011-03
7.41,2011-03
9.38,2011-03
12.03,2011-03
5.47,2011-03
7.88,2011-03
6.9,2011-03
7.49,2011-03
7.28,2011-03
11.17,2011-03
7.86,2011-03
10.32,2011-03
10.73,2011-03
11.63,2011-03
10.27,2011-03
7.94,2011-03
9.6,2011-03
10.42,2011-03
5.77,2011-03
9.7,2011-03
11.87,2011-03
8.87,2011-03
9.53,2011-03
10.13,2011-03
8.12,2011-03
10.07,2011-03
8.64,2011-03
6.32,2011-03
8.09,2011-03
8.71,2011-03
